fold,lead,model,best_params,best_val_score,best_iteration,n_features_total,n_features_retained,K_eff,boundary_gap,search_duration_s,fit_duration_s,n_trials,train_rmse
5,3,lasso,"{""alpha"": 0.1}",-1.1207285177084054,,56,0,9,14,11.27783179283142,11.67646312713623,13,0.9875860535771059
5,3,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.7}",-1.1207285177084054,,56,0,9,14,37.81288123130798,38.21689009666443,35,0.9875860535771059
5,3,rf,"{""n_estimators"": 500, ""max_depth"": 20, ""min_samples_leaf"": 20, ""max_features"": 0.5}",-0.986117858164574,,56,56,9,14,826.285475730896,857.969484090805,40,0.2579261012200817
5,3,xgboost,"{""max_depth"": 4, ""learning_rate"": 0.1, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 1.0, ""min_child_weight"": 5}",-0.9396235831696824,16.0,56,56,9,14,32.0295307636261,32.511714935302734,40,0.836764790016386
1,6,climatology,{},,,0,0,4,12,0.0,0.0081229209899902,0,1.0043067762419446
1,6,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,12,0.0,2.5987625122070312e-05,0,1.3656289963999786
1,6,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,12,0.0,0.042853832244873,0,1.0065767240540955
1,6,ols,{},,,54,54,4,12,0.0,0.3132171630859375,0,0.9684025035080763
1,6,ridge,"{""alpha"": 0.001}",-1.1773635516612722,,54,54,4,12,3.6313772201538086,3.92993688583374,13,0.9684025035081094
1,6,lasso,"{""alpha"": 0.0316}",-1.1775692795364012,,54,10,4,12,8.949512958526611,9.30501389503479,13,0.996342613656733
1,6,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.3}",-1.1764375110172958,,54,10,4,12,36.11540389060974,36.47182893753052,35,0.996264981738276
1,6,rf,"{""n_estimators"": 200, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-1.3266679087593645,,54,54,4,12,197.76214289665225,199.02155804634097,40,0.8931438382720067
1,6,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""min_child_weight"": 5}",-1.1645079828039653,0.0,54,54,4,12,27.652956008911133,41.36998391151428,40,0.002843085393527093
2,6,climatology,{},,,0,0,4,12,0.0,0.0092279911041259,0,0.988231924036503
2,6,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,12,0.0,2.09808349609375e-05,0,1.362328159817593
2,6,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,12,0.0,0.0449402332305908,0,0.986268237346519
2,6,ols,{},,,55,55,4,12,0.0,0.3378279209136963,0,0.9560185447988848
2,6,ridge,"{""alpha"": 1000.0}",-0.7954581121687688,,55,55,4,12,3.9392528533935542,4.234300136566162,13,0.9582542680410424
2,6,lasso,"{""alpha"": 0.1}",-0.6657731076054868,,55,1,4,12,6.783559322357178,7.097513914108276,13,0.9891672351619155
