model,lead,fold,evaluation_window,metric,value,ci_lower,ci_upper,std,n_replicates
ols,3,pooled,winter_only,msss_vs_climatology,0.0011764910962300812,-0.054462838188352736,0.055748296697782716,0.029504352741755675,1000
ols,3,pooled,winter_only,msss_vs_persistence,0.426847506710733,0.2877672234546963,0.5383316967151612,0.06482907378246741,1000
ridge,3,pooled,winter_only,mae,0.8308362328793354,0.739690681495192,0.9212652836143419,0.046289698709928176,1000
ridge,3,pooled,winter_only,rmse,0.9988249823443439,0.8947678845664016,1.1013275208038593,0.0520759984274971,1000
ridge,3,pooled,winter_only,pearson_r,0.004190730941607021,-0.18929401363336176,0.16402773947142688,0.08949306026812516,1000
ridge,3,pooled,winter_only,acc,0.039320129021182794,-0.14509471686955994,0.1920660031452801,0.08789010884476346,1000
ridge,3,pooled,winter_only,msss_vs_climatology,0.0036064642480021503,-0.05034039928502396,0.05775558764273845,0.028458704730708283,1000
ridge,3,pooled,winter_only,msss_vs_persistence,0.42824189236360244,0.29236756365335814,0.5396610274838679,0.06428677981511559,1000
lasso,3,pooled,winter_only,mae,0.8278148800185267,0.7381948189878608,0.9163824788240801,0.04582509258566022,1000
lasso,3,pooled,winter_only,rmse,0.9972162137673635,0.897157473434454,1.0950514012499388,0.05066533914275923,1000
lasso,3,pooled,winter_only,pearson_r,-0.0875147548610167,-0.27088553852528674,0.09028648262611137,0.09413780254732147,1000
lasso,3,pooled,winter_only,acc,0.012176188063270098,-0.15662943270483953,0.1802060666957177,0.08822226151681452,1000
lasso,3,pooled,winter_only,msss_vs_climatology,0.006813584055632482,-0.02882638412252569,0.03770671685595279,0.01710334563603582,1000
lasso,3,pooled,winter_only,msss_vs_persistence,0.43008222621401226,0.2877547944583666,0.5423676071513015,0.06635821798098464,1000
elasticnet,3,pooled,winter_only,mae,0.8278512782848223,0.7372104539346358,0.916232155653417,0.04570413456213998,1000
elasticnet,3,pooled,winter_only,rmse,0.9974700347454467,0.8963463166466901,1.0951087990122992,0.050408029826458436,1000
elasticnet,3,pooled,winter_only,pearson_r,-0.10124766258896067,-0.29094014950094454,0.0791657054383546,0.09673877403025756,1000
elasticnet,3,pooled,winter_only,acc,0.006345739573321663,-0.1725794802530291,0.18180996145643444,0.09103521950641923,1000
elasticnet,3,pooled,winter_only,msss_vs_climatology,0.006307929160725423,-0.026967312994677424,0.036744721454197285,0.016326541952961533,1000
elasticnet,3,pooled,winter_only,msss_vs_persistence,0.42979206748108656,0.2883930518618624,0.5406074460421266,0.06629233942023248,1000
rf,3,pooled,winter_only,mae,0.8092583798180025,0.7140490924213925,0.9065918250073856,0.049979328596448304,1000
rf,3,pooled,winter_only,rmse,0.9829322914272127,0.8729181731007034,1.0907967477543552,0.05542501051853094,1000
rf,3,pooled,winter_only,pearson_r,0.07896286611045172,-0.1529334015014438,0.2285262813891629,0.09784037126532405,1000
rf,3,pooled,winter_only,acc,0.10980192412523362,-0.10562693721622252,0.26090402994190454,0.09169414402306486,1000
rf,3,pooled,winter_only,msss_vs_climatology,0.03506221152437028,-0.04456021833647579,0.11705591670554379,0.04176870728134833,1000
rf,3,pooled,winter_only,msss_vs_persistence,0.44629206821450385,0.29796138284415674,0.557726599476734,0.06684494436071668,1000
xgboost,3,pooled,winter_only,mae,0.8618383458479196,0.7563027028024986,0.9817700094322325,0.05792886586411296,1000
xgboost,3,pooled,winter_only,rmse,1.0558176856355348,0.930730512211716,1.1859172874428143,0.06559209938032379,1000
xgboost,3,pooled,winter_only,pearson_r,-0.08293755448458771,-0.28551475759085465,0.11476974586023955,0.09954460684113645,1000
xgboost,3,pooled,winter_only,acc,-0.06767050135589894,-0.2619724984420763,0.13780479457457165,0.10110035978823613,1000
xgboost,3,pooled,winter_only,msss_vs_climatology,-0.1133455399004426,-0.2780789088532469,0.04098327952940773,0.0827518685076312,1000
xgboost,3,pooled,winter_only,msss_vs_persistence,0.36113160493511953,0.2174918188470365,0.4898360566761432,0.07089271262211909,1000
climatology,3,pooled,all_months,mae,0.8234959640115248,0.7695457238773735,0.8751667329111624,0.02627261789271033,1000
climatology,3,pooled,all_months,rmse,0.9911082025723026,0.9312209759333648,1.0447876159220275,0.028877242891456253,1000
climatology,3,pooled,all_months,pearson_r,-0.21672120729964187,-0.2882074262829019,-0.14462275576452605,0.03667555740094359,1000
climatology,3,pooled,all_months,acc,,,,,1000
climatology,3,pooled,all_months,msss_vs_climatology,0.0,0.0,0.0,0.0,1000
climatology,3,pooled,all_months,msss_vs_persistence,0.437203090769529,0.3566585576917824,0.5038766260613214,0.03667820109244521,1000
persistence,3,pooled,all_months,mae,1.0699189610293818,0.9915124196081356,1.1527479300707877,0.04153093576106859,1000
persistence,3,pooled,all_months,rmse,1.3211289779719837,1.2180641755432156,1.4243065459564968,0.051442305150529256,1000
persistence,3,pooled,all_months,pearson_r,0.039988059661376495,-0.062164886122973724,0.1220145880700094,0.048378708546342755,1000
persistence,3,pooled,all_months,acc,0.05384603946337086,-0.048608433733745585,0.13621378106504575,0.04828038933701774,1000
persistence,3,pooled,all_months,msss_vs_climatology,-0.7768398930394442,-1.0156276707552123,-0.5543846512872449,0.11475530884704957,1000
persistence,3,pooled,all_months,msss_vs_persistence,0.0,0.0,0.0,0.0,1000
ar,3,pooled,all_months,mae,0.8063031820005715,0.7549421480808268,0.8559172174923746,0.025274661633625246,1000
ar,3,pooled,all_months,rmse,0.971372281500131,0.9138288151024322,1.0240830145422333,0.028167845511141914,1000
ar,3,pooled,all_months,pearson_r,0.03213064790231961,-0.07423227159148348,0.12039044161075674,0.05079107452529611,1000
ar,3,pooled,all_months,acc,0.2685776543602237,0.1871412023660992,0.34218892754983377,0.039100245569657216,1000
ar,3,pooled,all_months,msss_vs_climatology,0.03942943966812107,0.02513155636816145,0.05426028076481621,0.007257590941041579,1000
ar,3,pooled,all_months,msss_vs_persistence,0.4593938575474369,0.3881904635321589,0.5179380699405791,0.03256756518138386,1000
ols,3,pooled,all_months,mae,0.8316838685505519,0.7748248370924838,0.883472323084271,0.027055701433991195,1000
ols,3,pooled,all_months,rmse,0.99770207037404,0.935452745725923,1.0534872936929054,0.029262438391583864,1000
ols,3,pooled,all_months,pearson_r,-0.022546214850298476,-0.1245794986641233,0.061898859985444143,0.048414890971031965,1000
ols,3,pooled,all_months,acc,0.06499761674213447,-0.03166321050561744,0.14699107726332078,0.04601611326475493,1000
ols,3,pooled,all_months,msss_vs_climatology,-0.013350313051066376,-0.04744626478309174,0.01898027431474755,0.017299945557978497,1000
ols,3,pooled,all_months,msss_vs_persistence,0.4296895758471295,0.3441557459680994,0.4982630831493385,0.03955713293407775,1000
ridge,3,pooled,all_months,mae,0.8295498919472902,0.7730716995438996,0.8810555087068098,0.026743740570047518,1000
ridge,3,pooled,all_months,rmse,0.9948727565166563,0.9326523167486385,1.0501367206966905,0.02894840550181717,1000
ridge,3,pooled,all_months,pearson_r,-0.023803938645492403,-0.1260645854049266,0.0631879313659576,0.049270456042246814,1000
ridge,3,pooled,all_months,acc,0.06948627610379154,-0.02985106959679726,0.1538092431085245,0.04670604297789167,1000
ridge,3,pooled,all_months,msss_vs_climatology,-0.007611083108214123,-0.03957482961792792,0.022164458425770726,0.016273448837345827,1000
ridge,3,pooled,all_months,msss_vs_persistence,0.43291959672032987,0.3490584318884819,0.5001313813378045,0.03884102888302002,1000
lasso,3,pooled,all_months,mae,0.8134565398210447,0.7597461276965071,0.8638667589332507,0.025984902041818414,1000
lasso,3,pooled,all_months,rmse,0.9792100270439841,0.9198050580197362,1.0335960099212846,0.0287862596172976,1000
lasso,3,pooled,all_months,pearson_r,-0.0558957203802983,-0.1722026084183831,0.06853982722588957,0.06087982715689937,1000
lasso,3,pooled,all_months,acc,0.1739681622772426,0.07154722763728455,0.27893730508278597,0.053894432030594776,1000
lasso,3,pooled,all_months,msss_vs_climatology,0.02386572358067307,0.004939753305467815,0.04167005250644777,0.00929022302014647,1000
lasso,3,pooled,all_months,msss_vs_persistence,0.45063464623728056,0.3671181841693411,0.5155637887750909,0.037164295686851215,1000
elasticnet,3,pooled,all_months,mae,0.8129753004551771,0.7595065168502962,0.8632491181646419,0.025884110802950416,1000
elasticnet,3,pooled,all_months,rmse,0.9786835859570149,0.9194681043165495,1.0335167117216544,0.02859265609685843,1000
elasticnet,3,pooled,all_months,pearson_r,-0.06384356017240138,-0.17533640434527972,0.06222885701673302,0.05954015534266957,1000
elasticnet,3,pooled,all_months,acc,0.1822969573393767,0.08282880373274991,0.28297444748708683,0.05182620543340187,1000
elasticnet,3,pooled,all_months,msss_vs_climatology,0.024915016460575368,0.00784458109800232,0.0408203000690411,0.008337380774853248,1000
elasticnet,3,pooled,all_months,msss_vs_persistence,0.45122518502696707,0.36816220349458617,0.5161159633645794,0.03684475048160389,1000
rf,3,pooled,all_months,mae,0.808970017208506,0.7557184249288882,0.8613061647410961,0.026972626098670568,1000
rf,3,pooled,all_months,rmse,0.9766604452145188,0.9188768346202147,1.0318823410233473,0.029748188623404403,1000
rf,3,pooled,all_months,pearson_r,0.04094578438176713,-0.08966186172240957,0.12926528180874097,0.05610538401340596,1000
rf,3,pooled,all_months,acc,0.14418558171202814,0.049454231260808036,0.21924900653916427,0.04417480197363081,1000
rf,3,pooled,all_months,msss_vs_climatology,0.02894225296840225,-0.006812805446156519,0.06296278760093725,0.01780606075234553,1000
