model,lead,fold,evaluation_window,metric,value,ci_lower,ci_upper,std,n_replicates,is_significant
persistence,3,pooled,winter_only,rmse,1.320940422692585,1.1814081111710102,1.4484282848004437,0.06704122303570496,1000,False
persistence,3,pooled,winter_only,pearson_r,0.018066305349920514,-0.1556316008081695,0.19025380355517535,0.08576398058972091,1000,False
persistence,3,pooled,winter_only,acc,0.011032283889914805,-0.15646686712441624,0.18008376544061833,0.08347002104676342,1000,False
persistence,3,pooled,winter_only,msss_vs_climatology,-0.7119442922117465,-1.0990376589255735,-0.38498821250810356,0.1878629452893846,1000,True
persistence,3,pooled,winter_only,msss_vs_persistence,0.0,0.0,0.0,0.0,1000,False
ar,3,pooled,winter_only,mae,0.8214008749847532,0.7361163013227967,0.9038546836442952,0.04249641637408826,1000,False
ar,3,pooled,winter_only,rmse,0.9858391979885162,0.8922013446785865,1.0732719175988537,0.04555259476116617,1000,False
ar,3,pooled,winter_only,pearson_r,0.057325175451617166,-0.10648482027068037,0.20126077974798437,0.07960963865036737,1000,False
ar,3,pooled,winter_only,acc,0.13117464600398376,0.04154409098156399,0.2268115108567912,0.047654711439956636,1000,True
ar,3,pooled,winter_only,msss_vs_climatology,0.04646786933461833,0.022157493445147995,0.07023190314713348,0.012356312938663086,1000,True
ar,3,pooled,winter_only,msss_vs_persistence,0.44301217334971466,0.31844092811468105,0.5417469634205656,0.058628387765881834,1000,True
climatology,6,pooled,winter_only,mae,0.883419691529763,0.7982110335780508,0.969001671129771,0.046031635260570615,1000,False
climatology,6,pooled,winter_only,rmse,1.0542409986356003,0.9555238425337609,1.1462376411795774,0.051434723023093404,1000,False
climatology,6,pooled,winter_only,pearson_r,-0.19470686174104074,-0.3261905401535076,-0.08774332453996592,0.060835424819544015,1000,True
climatology,6,pooled,winter_only,acc,,,,,1000,False
climatology,6,pooled,winter_only,msss_vs_climatology,0.0,0.0,0.0,0.0,1000,False
climatology,6,pooled,winter_only,msss_vs_persistence,0.3061733010982042,0.0912344832669072,0.4671331066648389,0.09875982804362501,1000,True
persistence,6,pooled,winter_only,mae,1.0015678693944006,0.8753279455027084,1.1363377891463657,0.06449396198838428,1000,False
persistence,6,pooled,winter_only,rmse,1.265652256356877,1.1240453597773228,1.4096198906400468,0.07100496170235966,1000,False
persistence,6,pooled,winter_only,pearson_r,0.13600711395221815,-0.07997645500106704,0.32711658508626407,0.10416285535427786,1000,False
persistence,6,pooled,winter_only,acc,0.14978718465737192,-0.05975586037359792,0.3353089142148758,0.10081079672014784,1000,False
persistence,6,pooled,winter_only,msss_vs_climatology,-0.44128209765179416,-0.8766420899956454,-0.10039414526927748,0.20720301497315363,1000,True
persistence,6,pooled,winter_only,msss_vs_persistence,0.0,0.0,0.0,0.0,1000,False
ar,6,pooled,winter_only,mae,0.8528018723945537,0.7721097913931009,0.9330810535145664,0.04399792273564755,1000,False
ar,6,pooled,winter_only,rmse,1.01777497851636,0.9234953572059226,1.1053739382899843,0.048987859016669626,1000,False
ar,6,pooled,winter_only,pearson_r,0.02364992160643693,-0.18066569042746677,0.2050841424576483,0.10343693763955936,1000,False
ar,6,pooled,winter_only,acc,0.3079428017213906,0.22796212668751614,0.3861529550043884,0.04008655313315434,1000,True
ar,6,pooled,winter_only,msss_vs_climatology,0.06798320951655079,0.04488737451732999,0.08769558527825892,0.01105355885731282,1000,True
ar,6,pooled,winter_only,msss_vs_persistence,0.35334186693782177,0.1598179476648908,0.5001078539029904,0.09013765357926323,1000,True
