fold,lead,model,best_params,best_val_score,best_iteration,n_features_total,n_features_retained,K_eff,boundary_gap,search_duration_s,fit_duration_s,n_trials,train_rmse
2,6,rf,"{""n_estimators"": 500, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-0.7466667875435251,,59,59,4,12,323.7799139022827,326.64948081970215,40,0.8711083852716993
2,6,xgboost,"{""max_depth"": 6, ""learning_rate"": 0.05, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_lambda"": 0.1, ""min_child_weight"": 1}",-0.6384129458025758,7.0,59,59,4,12,32.17833495140076,32.58041286468506,40,0.909663864789495
3,6,climatology,{},,,0,0,4,12,0.0,0.009300947189331,0,0.9773512066491891
3,6,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,12,0.0,1.7881393432617188e-05,0,1.3760303117553734
3,6,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,12,0.0,0.049941062927246,0,0.9779514435846336
3,6,ols,{},,,61,61,4,12,0.0,0.411754846572876,0,0.9433799603880872
3,6,ridge,"{""alpha"": 1000.0}",-0.7892005205771426,,61,61,4,12,4.723351001739502,5.080075979232788,13,0.9454166788553028
3,6,lasso,"{""alpha"": 0.316}",-0.7153747224437722,,61,0,4,12,10.86634397506714,11.224217891693115,13,0.9803788409086613
3,6,elasticnet,"{""alpha"": 1.0, ""l1_ratio"": 0.3}",-0.7153747224437722,,61,0,4,12,43.94407677650452,44.38836097717285,35,0.9803788409086613
3,6,rf,"{""n_estimators"": 500, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-0.7950630790438487,,61,61,4,12,368.5506217479706,371.7239170074463,40,0.8786728280202147
3,6,xgboost,"{""max_depth"": 6, ""learning_rate"": 0.05, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""min_child_weight"": 1}",-0.7185248363997786,0.0,61,61,4,12,31.1841778755188,42.49247097969055,40,0.0728953840460567
4,6,climatology,{},,,0,0,4,12,0.0,0.010754108428955,0,0.9804126751585553
4,6,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,12,0.0,1.4066696166992188e-05,0,1.3787903822260106
4,6,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,12,0.0,0.0541586875915527,0,0.9814474971659722
4,6,ols,{},,,60,60,4,12,0.0,0.4337191581726074,0,0.9532032261719878
4,6,ridge,"{""alpha"": 1000.0}",-1.1498183439997829,,60,60,4,12,5.102722883224487,5.4817891120910645,13,0.9548220804523772
4,6,lasso,"{""alpha"": 0.1}",-1.0209344756530134,,60,0,4,12,8.618893146514893,9.008209943771362,13,0.9828082782520559
4,6,elasticnet,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",-1.0209344756530134,,60,0,4,12,35.820422887802124,36.21852087974548,35,0.9828082782520559
4,6,rf,"{""n_estimators"": 500, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-1.1109673103987192,,60,60,4,12,398.31710505485535,401.71856904029846,40,0.8931310161010588
4,6,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.05, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""min_child_weight"": 5}",-1.020103862131826,0.0,60,60,4,12,31.365463972091675,45.83047604560852,40,0.025514632685523318
5,6,climatology,{},,,0,0,9,17,0.0,0.0123190879821777,0,0.9854150338123754
5,6,persistence,"{""spei3_column"": ""spei3""}",,,0,0,9,17,0.0,1.3113021850585938e-05,0,1.3751598605325042
5,6,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,9,17,0.0,0.0573208332061767,0,0.9861006599888641
5,6,ols,{},,,61,61,9,17,0.0,0.4845602512359619,0,0.9626296159064218
5,6,ridge,"{""alpha"": 1000.0}",-1.3418309173894891,,61,61,9,17,5.608327865600586,6.0411951541900635,13,0.9638637786887359
5,6,lasso,"{""alpha"": 0.1}",-1.1207285177084054,,61,0,9,17,9.296080112457275,9.722478151321411,13,0.9875860535771059
5,6,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",-1.1207285177084054,,61,0,9,17,35.37543797492981,35.80433416366577,35,0.9875860535771059
5,6,rf,"{""n_estimators"": 500, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-1.2933224145757238,,61,61,9,17,438.42741990089417,442.1243598461151,40,0.8946910296988483
5,6,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_lambda"": 1.0, ""min_child_weight"": 1}",-1.106212616058174,0.0,61,61,9,17,32.799590826034546,51.52753901481629,40,0.0043160908905515065
