model,lead,fold,evaluation_window,metric,value,ci_lower,ci_upper,std,n_replicates
rf,1,pooled,winter_only,pearson_r,0.7709067259547873,0.7042468880409135,0.8209169564340182,0.029700358183185033,1000
rf,1,pooled,winter_only,acc,0.7760954707691274,0.7138406779707195,0.824576689548468,0.02850292972947308,1000
rf,1,pooled,winter_only,msss_vs_climatology,0.6160789801878148,0.5281480653582192,0.6843669590473973,0.041190182419556055,1000
rf,1,pooled,winter_only,msss_vs_persistence,0.24665550457950658,0.09366735971298028,0.3614230869023617,0.06611493143131901,1000
xgboost,1,pooled,winter_only,mae,0.4752305330153304,0.43095694831392134,0.5201962369530818,0.0227953278458469,1000
xgboost,1,pooled,winter_only,rmse,0.5831766530525818,0.5332829175848358,0.6337550499018978,0.025711320232783615,1000
xgboost,1,pooled,winter_only,pearson_r,0.7926206274733296,0.7393308511994535,0.8363816086024026,0.02454567150352371,1000
xgboost,1,pooled,winter_only,acc,0.7963127645847262,0.7449954823408652,0.8394650116009278,0.023882406023727872,1000
xgboost,1,pooled,winter_only,msss_vs_climatology,0.655904754347475,0.5632911897213102,0.728667741275141,0.04241951547713551,1000
xgboost,1,pooled,winter_only,msss_vs_persistence,0.3248031604534073,0.1891126217057391,0.4363576210932135,0.06308195524368221,1000
climatology,1,pooled,all_months,mae,0.8277905598206041,0.7741525914131958,0.8833786457039368,0.028446487777159187,1000
climatology,1,pooled,all_months,rmse,0.9970401689578062,0.9346755238600789,1.0584382624191528,0.031428625460121595,1000
climatology,1,pooled,all_months,pearson_r,-0.22403325925209222,-0.3018461100536391,-0.14937464167807585,0.039547880051558064,1000
climatology,1,pooled,all_months,acc,,,,,1000
climatology,1,pooled,all_months,msss_vs_climatology,0.0,0.0,0.0,0.0,1000
climatology,1,pooled,all_months,msss_vs_persistence,-0.5834519398557438,-0.86967779815287,-0.368505911719986,0.1312904267924595,1000
persistence,1,pooled,all_months,mae,0.6083070006521305,0.5632590899281289,0.6554248918678303,0.02329114282601637,1000
persistence,1,pooled,all_months,rmse,0.792337502846109,0.737356885984835,0.8479052771119603,0.028917531006568784,1000
persistence,1,pooled,all_months,pearson_r,0.6558504016889375,0.6025120253034569,0.7005511250929836,0.025332370266914313,1000
persistence,1,pooled,all_months,acc,0.6654066439322542,0.6126991425045244,0.7087143980404907,0.02490981840429979,1000
persistence,1,pooled,all_months,msss_vs_climatology,0.3684683602767872,0.26927602902718023,0.46514847462433584,0.05178997443260642,1000
persistence,1,pooled,all_months,msss_vs_persistence,0.0,0.0,0.0,0.0,1000
ar,1,pooled,all_months,mae,0.5627774788173442,0.5295837124083889,0.5923538510798266,0.016067129083165044,1000
ar,1,pooled,all_months,rmse,0.7081350215798251,0.664424385552793,0.7494344029252005,0.021511122730495994,1000
ar,1,pooled,all_months,pearson_r,0.680057213124668,0.6300438889123529,0.7248328806667562,0.024121712106336693,1000
ar,1,pooled,all_months,acc,0.6951482081039375,0.646489470148453,0.7370817920198972,0.02318386539122443,1000
ar,1,pooled,all_months,msss_vs_climatology,0.4955631144766188,0.4304808920203283,0.5534126513924498,0.031686628547511954,1000
ar,1,pooled,all_months,msss_vs_persistence,0.20124843508321233,0.1503256234892722,0.24155753325991589,0.022500060997709886,1000
ols,1,pooled,all_months,mae,0.5358662207417635,0.5023093964206354,0.5684432534356292,0.01742163500459265,1000
ols,1,pooled,all_months,rmse,0.6900282320453972,0.6450023290232243,0.7373118446664451,0.023549570174822114,1000
ols,1,pooled,all_months,pearson_r,0.697812531578986,0.6505031895440675,0.7371452803930013,0.022312056725379587,1000
ols,1,pooled,all_months,acc,0.7102935484418929,0.6654627578088979,0.7476185070034276,0.021436575849871502,1000
ols,1,pooled,all_months,msss_vs_climatology,0.5210298938688993,0.45197762451099277,0.5791356335171354,0.032345284256534455,1000
ols,1,pooled,all_months,msss_vs_persistence,0.24157385631379702,0.18113967391458707,0.292925282583662,0.02821500940164037,1000
ridge,1,pooled,all_months,mae,0.5324255770670752,0.49963518152394554,0.5640264988666311,0.016476199553036256,1000
ridge,1,pooled,all_months,rmse,0.6797217492634899,0.6361122350714811,0.7248321688859647,0.02218337460112535,1000
ridge,1,pooled,all_months,pearson_r,0.706418902998327,0.65885935413237,0.7442972930672848,0.02190506630408017,1000
