fold,lead,model,best_params,best_val_score,best_iteration,n_features_total,n_features_retained,K_eff,boundary_gap,search_duration_s,fit_duration_s,n_trials,train_rmse
4,6,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_lambda"": 0.1, ""min_child_weight"": 1}",-1.0343930327862565,1.0,60,60,4,12,75.18145108222961,76.69214582443237,40,0.9409229238997898
5,6,climatology,{},,,0,0,9,17,0.0,0.0108149051666259,0,0.9854150338123754
5,6,persistence,"{""spei3_column"": ""spei3""}",,,0,0,9,17,0.0,1.2159347534179688e-05,0,1.3751598605325042
5,6,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,9,17,0.0,0.052833080291748,0,0.9861006599888641
5,6,ols,{},,,61,61,9,17,0.0,1.356417179107666,0,0.9807389111782372
5,6,ridge,"{""alpha"": 1000.0}",-1.1203392335816809,,61,61,9,17,18.132344961166385,19.488584995269775,13,0.9809144619711698
5,6,lasso,"{""alpha"": 0.1}",-1.0113467688738773,,61,1,9,17,20.843994855880737,22.356597900390625,13,0.987531485179324
5,6,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",-1.0055306987987604,,61,5,9,17,66.97433090209961,68.66946506500244,35,0.9849357590518543
5,6,rf,"{""n_estimators"": 500, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-1.0164520951280065,,61,61,9,17,1557.269073009491,1568.8289110660553,40,0.9468652553318223
5,6,xgboost,"{""max_depth"": 6, ""learning_rate"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 0.1, ""min_child_weight"": 1}",-0.9773548897986862,6.0,61,61,9,17,77.45637106895447,79.11171078681946,40,0.9072488390206765
